Module	Module Description	Completeness	Pearson's r	Lower 95% CI	Upper 95% CI	Regression Coefficient	FDR adjusted p-value
M00254	M00254	ABC-2 type transport system	1	-0.728535132834188	-0.918433023103398	-0.26574240667061	-0.105363100114668	0.0184764798277133
M00618	M00618	Acetogen	1	-0.732146198759527	-0.919635482376552	-0.272920132119688	-0.00143013537398075	0.018085257934336
M00584	M00584	Acetoin utilization transport system	0.75	-0.647355964112791	-0.890441843316633	-0.116875934822907	-2.31334307985645e-05	0.0449843866666552
M00049	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.555555555555556	-0.857179058103371	-0.959210211332732	-0.557563005072572	-0.0177983266750615	0.00356837435502097
M00655	M00655	AdeS-AdeR two-component regulatory system	1	-0.877557973932392	-0.965302446748892	-0.611756439527446	-0.000382590179572097	0.00270438195992796
M00330	M00330	Adhesin protein transport system	1	-0.748488740956022	-0.925033840245513	-0.306056354568399	-0.00151490657973185	0.0148428608488636
M00493	M00493	AlgZ-AlgR (alginate production) two-component regulatory system	1	-0.753985028676455	-0.926833521541647	-0.317446872176369	-0.00320571347184453	0.0139324800354234
M00325	M00325	alpha-Hemolysin/cyclolysin transport system	1	-0.723722098398947	-0.916824842262779	-0.256254635279485	-0.00530648333066476	0.019000463139749
M00359	M00359	Aminoacyl-tRNA biosynthesis, eukaryotes	0.954545454545455	-0.843065085795282	-0.954934578733348	-0.521469311510912	-0.0210367903543556	0.00440570256468411
M00360	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes	1	-0.789905920840815	-0.93840294150101	-0.395126175370556	-0.0129113391504295	0.00867937313102053
M00742	M00742	Aminoglycoside resistance, protease FtsH	0.833333333333333	-0.728304461223626	-0.918356091664138	-0.265285636967434	-0.00698940116812833	0.0184764798277133
M00743	M00743	Aminoglycoside resistance, protease HtpX	1	-0.796651271788283	-0.940538981063245	-0.410371094941288	-0.0061841778429092	0.00818220620968971
M00613	M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	1	-0.723581230480957	-0.916777679464203	-0.255978297287062	-0.00613406367029015	0.019000463139749
M00456	M00456	ArcB-ArcA (anoxic redox control) two-component regulatory system	1	-0.763725340650384	-0.930003458426925	-0.337946960577972	-0.00028081172601818	0.0124149663813262
M00343	M00343	Archaeal proteasome	1	0.713021561493932	0.235478909744066	0.913226879221582	0.00467889419741343	0.0209262066847021
M00235	M00235	Arginine/ornithine transport system	1	-0.672663092426187	-0.899369800417331	-0.160860426319047	-0.000133768385530873	0.0343102698731293
M00129	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0.714285714285714	-0.840968075423846	-0.954295332207225	-0.516203056213094	-0.0126029193408458	0.00446450895187438
M00531	M00531	Assimilatory nitrate reduction, nitrate => ammonia	0.666666666666667	-0.745342283680191	-0.92399999834683	-0.299592150173523	-0.00200700273941498	0.0155320581837563
M00500	M00500	AtoS-AtoC (cPHB biosynthesis) two-component regulatory system	1	-0.747443142079118	-0.924690574231784	-0.303903700005475	-0.0107750424163726	0.0150528021947344
M00475	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	-0.855493934160138	-0.958702168560801	-0.553193247484339	-0.00352587307731858	0.00356837435502097
M00451	M00451	BasS-BasR (antimicrobial peptide resistance) two-component regulatory system	1	-0.841376565575608	-0.95441993652877	-0.517226981673492	-0.000163929808638535	0.0044644467749723
M00551	M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	1	-0.840464183730617	-0.954141572658888	-0.514941273908848	-0.00101224584465128	0.00447768823949586
M00097	M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	0.833333333333333	-0.81853302628488	-0.94739078529125	-0.461357540675303	-0.00126151961827404	0.00604170093281347
M00628	M00628	beta-Lactam resistance, AmpC system	1	-0.822782608138783	-0.948707896028347	-0.471540795625634	-0.0143052632673515	0.00565562249830101
M00627	M00627	beta-Lactam resistance, Bla system	0.75	-0.873054983489141	-0.963964457983964	-0.599563017448541	-0.00178252528910973	0.00290937927347661
M00086	M00086	beta-Oxidation, acyl-CoA synthesis	0.5	-0.911697784842271	-0.975298832923931	-0.708502017667257	-0.116918006642095	0.00131661068580045
M00555	M00555	Betaine biosynthesis, choline => betaine	1	-0.789841577465586	-0.938382511194175	-0.394981794796545	-0.0150750785868255	0.00867937313102053
M00581	M00581	Biotin transport system	1	-0.653101446203183	-0.892485310464021	-0.126682426545878	-0.000284697451903599	0.0424455868236454
M00237	M00237	Branched-chain amino acid transport system	1	-0.778908925256985	-0.934896035450458	-0.37072991799958	-0.0335057265953006	0.0101861766742537
M00140	M00140	C1-unit interconversion, prokaryotes	1	-0.845310145080546	-0.955617807728162	-0.527134651742464	-0.00830609084032561	0.00427825442686345
M00365	M00365	C10-C20 isoprenoid biosynthesis, archaea	1	0.794391309257922	0.405239271987247	0.939824587672723	0.00836179704961789	0.00837759617359335
M00172	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	0.75	-0.836964660647562	-0.953072056659513	-0.506216951330654	-0.0203418754759504	0.00458337135088856
M00170	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	0.5	-0.876157998259475	-0.964886960175372	-0.607951936825295	-0.0168834871158715	0.00270438195992796
M00095	M00095	C5 isoprenoid biosynthesis, mevalonate pathway	0.875	0.646275961456511	0.115044044848991	0.890056626554769	0.00121770088824378	0.0452897379782904
M00096	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	0.9	-0.905067431623894	-0.97337758956527	-0.689095638711415	-0.00802101778303229	0.00142831548406397
M00168	M00168	CAM (Crassulacean acid metabolism), dark	0.5	-0.82783221402712	-0.95026730299262	-0.483764171375366	-0.0137489982892461	0.00527773322753192
M00169	M00169	CAM (Crassulacean acid metabolism), light	1	-0.850832452324244	-0.957293353513536	-0.541191427032765	-0.0301694069610961	0.00394165357533587
M00350	M00350	Capsaicin biosynthesis, L-Phenylalanine => Capsaicin	0.6	-0.783819143433119	-0.936465660765828	-0.381553814953073	-0.000861868793377578	0.00970243518848995
M00568	M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	1	-0.681147104333973	-0.902321096187951	-0.176075355299894	-0.00451016787423666	0.0311071410811657
M00042	M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0.5	-0.885171538965292	-0.967554259368356	-0.63266421438445	-0.004551387782652	0.00253547681527856
M00727	M00727	Cationic antimicrobial peptide (CAMP) resistance,  N-acetylmuramoyl-L-alanine amidase AmiA and AmiC	1	-0.70593513266401	-0.910826818699735	-0.221956291412124	-0.00732226390843204	0.0229413478589478
M00722	M00722	Cationic antimicrobial peptide (CAMP) resistance,  phosphoethanolamine transferase PmrC	1	-0.870285646203085	-0.963139305079069	-0.592126595347548	-0.000274247089673427	0.00292598702332845
M00721	M00721	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	1	-0.647589977805572	-0.890525265737308	-0.117273342947642	-0.000659557340926301	0.0449843866666552
