Module ID	Module Name	Module Type	Definition
M00302	2-Aminoethylphosphonate transport system	Complex	K11081+K11082+K11083+K11084
M00608	"2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate"	Pathway	K10977 K16792+K16793 K10978
M00376	3-Hydroxypropionate bi-cycle	Pathway	"K02160+K01961+K01962+K01963 K14468 K14469 K15052 K05606 (K01847,K01848+K01849) K14471+K14472 K00239+K00240+K00241 K01679 K08691 K14449 K14470 K09709"
M00653	AauS-AauR (acidic amino acids utilization) two-component regulatory system	FuncSet	K17060 K17061
M00254	ABC-2 type transport system	Complex	K01992+K01990
M00372	"Abscisic acid biosynthesis, beta-carotene => abscisic acid"	Pathway	"(K15746,K15747) K09838 -K14594 K09840 K09841 K09842"
M00618	Acetogen	Signature	M00377 M00579
M00584	Acetoin utilization transport system	Complex	K16918+K16919+K16920+K16921
M00422	"Acetyl-CoA pathway, CO2 => acetyl-CoA"	Pathway	K00192+K00195 K00193+K00197+K00194
M00681	Activin signaling	Pathway	"K04667 ((K04670,K13596)+K13567) (K04500+K04501)"
M00098	Acylglycerol degradation	Pathway	"(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K14452,K14674,K14675,K17900) K01054"
M00049	"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	Pathway	"K01939 K01756 (K00939,K18532,K18533,K00944) (K00940,K00873,K12406)"
M00655	AdeS-AdeR two-component regulatory system	FuncSet	K18143 K18144
M00330	Adhesin protein transport system	Complex	K12541+K12542+K12543
M00064	ADP-L-glycero-D-manno-heptose biosynthesis	Pathway	K03271 K03272 K03273 K03274
M00495	AgrC-AgrA (exoprotein synthesis) two-component regulatory system	FuncSet	K07706 K07707
M00219	AI-2 transport system	Complex	K10555+K10556+K10557+K10558
M00571	AlgE-type Mannuronan C-5-Epimerase transport system	Complex	K16300+K16299+K12340
M00493	AlgZ-AlgR (alginate production) two-component regulatory system	FuncSet	K08082 K08083
M00600	"alpha-1,4-Digalacturonate transport system"	Complex	K17241+K17242+K17243
M00201	alpha-Glucoside transport system	Complex	"K10232+K10233+K10234-(K10235,K10112)"
M00325	alpha-Hemolysin/cyclolysin transport system	Complex	K11004+K11003+K12340
M00359	"Aminoacyl-tRNA biosynthesis, eukaryotes"	FuncSet	K01872 K01887 K01893 K01876 K01883 K01886 K01885 K01880 K01892 K01870 K01869 K04567 K01874 (K01889+K01890) K01881 K01875 K01868 K01867 K01866 K01873 -K14163
M00360	"Aminoacyl-tRNA biosynthesis, prokaryotes"	FuncSet	"K01872 K01887 (K01893,K01876,K09759) K01883 (K01886,K01885,K09698) ((K01878+K01879),K14164,K01880) K01892 K01870 K01869 (K04567,K04566) K01874 K01889+K01890 K01881 K01875 K01868 K01867 K01866 K01873 -K07587 -K11627 -K04568 -K01884"
M00742	"Aminoglycoside resistance, protease FtsH"	Signature	"(K07638 K07659 K19416),(K04088 K04087) K03798"
M00743	"Aminoglycoside resistance, protease HtpX"	Signature	K07638 K07659 K03799
M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	Signature	M00597 M00376
M00614	Anoxygenic photosynthesis in green sulfur bacteria	Signature	M00598 M00173
M00612	Anoxygenic photosynthesis in purple bacteria	Signature	M00597 M00165
