Module ID	Module Name	Module Type	Definition
M00314	Bacitracin transport system	Complex	K11632+K11631
M00349	Microcin C transport system	Complex	K13893+K13894+K13895+K13896
M00451	BasS-BasR (antimicrobial peptide resistance) two-component regulatory system	FuncSet	K07643 K07771
M00469	BceS-BceR (bacitracin transport) two-component regulatory system	FuncSet	K11629 K11630
M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	FuncSet	K11633 K11634
M00625	Methicillin resistance	Signature	K02547 K02546 K02545
M00627	"beta-Lactam resistance, Bla system"	Signature	"K02172 K02171 (K18766,K17836)"
M00628	"beta-Lactam resistance, AmpC system"	Signature	"K08218 K01207 K17850 (K01467,K17836)"
M00634	Oleandomycin transport system	Complex	K18233+K18232
M00635	"Tetracycline resistance, TetAB(46) transporter"	Signature	K18216+K18217
M00639	"Multidrug resistance, efflux pump MexCD-OprJ"	Signature	K18294 K18295+K18296-K08721
M00641	"Multidrug resistance, efflux pump MexEF-OprN"	Signature	K18297 K18298+K18299-K18300
M00642	"Multidrug resistance, efflux pump MexJK-OprM"	Signature	K18301 K18302+K18303-K18139
M00643	"Multidrug resistance, efflux pump MexXY-OprM"	Signature	K18129 K18094+K18095+K18139
M00644	"Vanadium resistance, efflux pump MexGHI-OpmD"	FuncSet	K18304 K18099 K18305+K18306+K18307-K18308
M00645	"Multidrug resistance, efflux pump SmeABC"	Signature	K07642 K07664 K18321+K18322+K18323
M00646	"Multidrug resistance, efflux pump AcrAD-TolC"	Signature	K07642 K07664 K03585+K18324+K12340
M00647	"Multidrug resistance, efflux pump AcrAB-TolC/SmeDEF"	Signature	"(K03577,K18992,K13632,K13631,K05804,K18325,K18991) (K03585+K18138+(K18139,K12340))"
M00648	"Multidrug resistance, efflux pump MdtABC"	Signature	K07642 K07664 K07799+K07788+K07789
M00649	"Multidrug resistance, efflux pump AdeABC"	Signature	K18143 K18144 K18145+K18146-K18147
M00651	"Vancomycin resistance, D-Ala-D-Lac type"	Signature	"(K18345 K18344 K07260 K18346),(K18351 K18352 K18354 K18353) (K18347 K15739 K08641)"
M00652	"Vancomycin resistance, D-Ala-D-Ser type"	Signature	K18350 K18349 K18348 K18856 K18866
M00654	ParS-ParR (polymyxin-adaptive resistance) two-component regulatory system	FuncSet	K18072 K18073
M00656	VanS-VanR (VanB type vancomycin resistance) two-component regulatory system	FuncSet	K18345 K18344
M00657	VanS-VanR (VanE type vancomycin resistance) two-component regulatory system	FuncSet	K18350 K18349
M00658	VanS-VanR (actinomycete type vancomycin resistance) two-component regulatory system	FuncSet	K18351 K18352
M00667	"Tetracycline resistance, efflux pump"	Signature	K18219 K18218
M00668	"Tetracycline resistance, TetA transporter"	Signature	K18476 K08151
M00672	"Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin"	Pathway	K12743 K04126 K10852
M00673	"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C"	Pathway	K12743 K04126 K04127 K12744 K12745 K04128 K18062 K18063
M00674	"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate"	Pathway	K12673 K12674 K12675 K12676
M00675	"Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate"	Pathway	K18317 K18316 K18315
M00696	"Multidrug resistance, efflux pump AcrEF-TolC"	Signature	K18140 K18141+K18142+K12340
M00697	"Multidrug resistance, efflux pump MdtEF-TolC"	Signature	K07690 K18898+K18899+K12340
M00698	"Multidrug resistance, efflux pump BpeEF-OprC"	Signature	K18900 K18901+K18902+K18903
M00699	"Multidrug resistance, efflux pump AmeABC"	Signature	K18905 K03585+K18138+K18904
M00700	"Multidrug resistance, efflux pump AbcA"	Signature	"(K18906,K18907) K18104"
M00701	"Multidrug resistance, efflux pump EmrAB"	Signature	K15974 K03543+K03446
M00702	"Multidrug resistance, efflux pump NorB"	Signature	"(K18906,K18907) K08170"
M00704	"Tetracycline resistance, efflux pump Tet38"	Signature	K18906 K08168
M00705	"Multidrug resistance, efflux pump MepA"	Signature	K18909 K18908
M00706	"Multidrug resistance, EfrAB transporter"	Signature	K18887+K18888
M00707	"Multidrug resistance, SmdAB/MdlAB transporter"	Signature	K18889+K18890
M00708	"Multidrug resistance, PatAB transporter"	Signature	K18891+K18892
M00709	"Macrolide resistance, MacAB-TolC transporter"	Signature	K07637 K07660 K05685+K13888+K12340
M00710	"Multidrug resistance, efflux pump EbrAB"	Signature	K11814+K11815
M00711	"Multidrug resistance, efflux pump MdtIJ"	Signature	K11742+K11743
M00712	"Multidrug resistance, efflux pump YkkCD"	Signature	K18924+K18925
M00713	"Fluoroquinolone resistance, efflux pump LfrA"	Signature	K18937 K08167
M00714	"Multidrug resistance, efflux pump QacA"	Signature	K18938 K08167
M00715	"Lincosamide resistance, efflux pump LmrB"	Signature	K18939 K18926
M00716	ArlS-ArlR (virulence regulation) two-component regulatory system	FuncSet	K18940 K18941
M00717	"Multidrug resistance, efflux pump NorA"	Signature	"(K18940 K18941,K18906) K08153"
M00718	"Multidrug resistance, efflux pump MexAB-OprM"	Signature	K18131 K03585+K18138+K18139
M00720	"Multidrug resistance, efflux pump VexEF-TolC"	Signature	K18989+K18990+K12340
M00721	"Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon"	Signature	"((K07771 K07643),(K18072 K18073),(K07637 K07660)) K07806+K10012+K10011+K13014+K07264+K12962+K12963"
M00722	"Cationic antimicrobial peptide (CAMP) resistance,  phosphoethanolamine transferase PmrC"	Signature	K07771 K07643 K03760
M00723	"Cationic antimicrobial peptide (CAMP) resistance, phosphoethanolamine transferase EptB"	Signature	K07660 K07637 K18514 K12975
M00724	"Cationic antimicrobial peptide (CAMP) resistance, palmitoyl transferase PagP"	Signature	K07660 K07637 K12973
M00725	"Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon"	Signature	K19077 K19078 K03367+K03739+K14188+K03740
M00726	"Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF"	Signature	K19077 K19078 K14205
M00727	"Cationic antimicrobial peptide (CAMP) resistance,  N-acetylmuramoyl-L-alanine amidase AmiA and AmiC"	Signature	K07640 K07662 K01448
M00728	"Cationic antimicrobial peptide (CAMP) resistance, envelope protein folding and degrading  factors DegP and DsbA"	Signature	"K07640 K07662 (K04771,K03673)"
M00729	"Fluoroquinolone resistance, gyrase-protecting protein Qnr"	Signature	K03553 K01356 K18555
M00730	"Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter"	Signature	K19077 K19078 K19079+K19080
M00731	Bacitracin transport system	Complex	K19084+K19083
M00732	Cationic antimicrobial peptide transport system	Complex	K19080+K19079
M00733	GraS-GraR (cationic antimicrobial peptide transport) two-component regulatory system	FuncSet	K19077 K19078
M00734	BraS-BraR (bacitracin transport) two-component regulatory system	FuncSet	K19081 K19082
M00736	"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A"	Pathway	K19102+K19103+K05375 K19104 K19105 K19106
M00737	"Bacitracin resistance, VraDE transporter"	Signature	K19083+K19084 K19081 K19082 K11631+K11632
M00738	"Bacitracin resistance, BceAB transporter"	Signature	K11629 K11630 K11631+K11632
M00739	Cationic peptide transport system	Complex	K19226+K19227+K19228+K19229+K19230
M00742	"Aminoglycoside resistance, protease FtsH"	Signature	"(K07638 K07659 K19416),(K04088 K04087) K03798"
M00743	"Aminoglycoside resistance, protease HtpX"	Signature	K07638 K07659 K03799
M00744	"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE"	Signature	K07637 K07660 K08477
M00745	"Imipenem resistance, repression of porin OprD"	Signature	"(K18072 K18073),(K07644 K07665),K18297 K18093"
M00746	"Multidrug resistance, repression of porin OmpF"	Signature	K13632 K18513 K09476
M00747	Bacitracin transport system	Complex	K19310+K19309
M00754	"Nisin resistance, phage shock protein homolog LiaH"	Signature	K11617 K11618 K11619+K11620
